range_id,deviation_code,grades
"18-30","C","{""8"":[143,110],""9"":[162,110],""10"":[194,110],""11"":[240,110],""12"":[320,110],""13"":[440,110]}"
"30-40","C","{""8"":[159,120],""9"":[182,120],""10"":[220,120],""11"":[280,120],""12"":[370,120],""13"":[510,120]}"
"40-50","C","{""8"":[169,130],""9"":[192,130],""10"":[230,130],""11"":[290,130],""12"":[380,130],""13"":[520,130]}"
"50-65","C","{""8"":[186,140],""9"":[214,140],""10"":[260,140],""11"":[330,140],""12"":[440,140],""13"":[600,140]}"
"65-80","C","{""8"":[196,150],""9"":[224,150],""10"":[270,150],""11"":[340,150],""12"":[450,150],""13"":[610,150]}"
"80-100","C","{""8"":[224,170],""9"":[257,170],""10"":[310,170],""11"":[390,170],""12"":[520,170],""13"":[710,170]}"
"100-120","C","{""8"":[234,180],""9"":[267,180],""10"":[320,180],""11"":[400,180],""12"":[530,180],""13"":[720,180]}"
"120-140","C","{""8"":[263,200],""9"":[300,200],""10"":[360,200],""11"":[450,200],""12"":[600,200],""13"":[830,200]}"
"140-160","C","{""8"":[273,210],""9"":[310,210],""10"":[370,210],""11"":[460,210],""12"":[610,210],""13"":[840,210]}"
"160-180","C","{""8"":[293,230],""9"":[330,230],""10"":[390,230],""11"":[480,230],""12"":[630,230],""13"":[860,230]}"
"180-200","C","{""8"":[312,240],""9"":[355,240],""10"":[425,240],""11"":[530,240],""12"":[700,240],""13"":[960,240]}"
"200-225","C","{""8"":[332,260],""9"":[375,260],""10"":[445,260],""11"":[550,260],""12"":[720,260],""13"":[980,260]}"
"225-250","C","{""8"":[352,280],""9"":[395,280],""10"":[465,280],""11"":[570,230],""12"":[740,280],""13"":[1000,280]}"
"250-280","C","{""8"":[381,300],""9"":[430,300],""10"":[510,300],""11"":[620,300],""12"":[820,300],""13"":[1110,300]}"
"280-315","C","{""8"":[411,330],""9"":[460,330],""10"":[540,330],""11"":[650,330],""12"":[850,330],""13"":[1140,330]}"
"315-355","C","{""8"":[449,360],""9"":[500,360],""10"":[590,360],""11"":[720,360],""12"":[930,360],""13"":[1250,360]}"
"355-400","C","{""8"":[489,400],""9"":[540,400],""10"":[630,400],""11"":[760,400],""12"":[970,400],""13"":[1290,400]}"
"400-450","C","{""8"":[537,440],""9"":[595,440],""10"":[690,440],""11"":[840,440],""12"":[1070,440],""13"":[1410,440]}"
"450-500","C","{""8"":[577,480],""9"":[635,480],""10"":[730,480],""11"":[880,480],""12"":[1110,480],""13"":[1450,480]}"
"0-3","CD","{""6"":[40,34],""7"":[44,34],""8"":[48,34],""9"":[59,34],""10"":[74,34]}"
"3-6","CD","{""6"":[54,46],""7"":[58,46],""8"":[64,46],""9"":[76,46],""10"":[94,46]}"
"6-10","CD","{""6"":[65,56],""7"":[71,56],""8"":[78,56],""9"":[92,56],""10"":[114,56]}"
"10-18","CD","{""6"":[61,50],""7"":[68,50],""8"":[77,50],""9"":[93,50],""10"":[120,50]}"
"18-30","CD","{""6"":[78,65],""7"":[86,65],""8"":[98,65],""9"":[117,65],""10"":[149,65]}"
"30-50","CD","{""6"":[96,80],""7"":[105,80],""8"":[119,80],""9"":[142,80],""10"":[180,80]}"
"50-80","CD","{""6"":[119,100],""7"":[130,100],""8"":[146,100],""9"":[174,100],""10"":[220,100]}"
"80-120","CD","{""6"":[142,120],""7"":[155,120],""8"":[174,120],""9"":[207,120],""10"":[260,120]}"
"120-180","CD","{""6"":[170,145],""7"":[185,145],""8"":[208,145],""9"":[245,145],""10"":[305,145]}"
"180-250","CD","{""6"":[199,170],""7"":[216,170],""8"":[242,170],""9"":[285,170],""10"":[355,170]}"
"250-315","CD","{""6"":[222,190],""7"":[242,190],""8"":[271,190],""9"":[320,190],""10"":[400,190]}"
"315-400","CD","{""6"":[246,210],""7"":[267,210],""8"":[299,210],""9"":[350,210],""10"":[440,210]}"
"400-500","CD","{""6"":[270,230],""7"":[293,230],""8"":[327,230],""9"":[385,230],""10"":[480,230]}"
"500-630","CD","{""6"":[304,260],""7"":[330,260],""8"":[370,260],""9"":[435,260],""10"":[540,260]}"
"630-800","CD","{""6"":[340,290],""7"":[370,290],""8"":[415,290],""9"":[490,290],""10"":[610,290]}"
"800-1000","CD","{""6"":[376,320],""7"":[410,320],""8"":[460,320],""9"":[550,320],""10"":[680,320]}"
"1000-1250","CD","{""6"":[416,350],""7"":[455,350],""8"":[515,350],""9"":[610,350],""10"":[770,350]}"
"1250-1600","CD","{""6"":[468,390],""7"":[515,390],""8"":[585,390],""9"":[700,390],""10"":[890,390]}"
"1600-2000","CD","{""6"":[522,430],""7"":[580,430],""8"":[660,430],""9"":[800,430],""10"":[1030,430]}"
"2000-2500","CD","{""6"":[590,480],""7"":[655,480],""8"":[760,480],""9"":[920,480],""10"":[1180,480]}"
"2500-3150","CD","{""6"":[655,520],""7"":[730,520],""8"":[850,520],""9"":[1060,520],""10"":[1380,520]}"
"0-3","D","{""6"":[26,20],""7"":[30,20],""8"":[34,20],""9"":[45,20],""10"":[60,20],""11"":[80,20],""12"":[120,20],""13"":[160,20]}"
"3-6","D","{""6"":[38,30],""7"":[42,30],""8"":[48,30],""9"":[60,30],""10"":[78,30],""11"":[105,30],""12"":[150,30],""13"":[210,30]}"
"6-10","D","{""6"":[49,40],""7"":[55,40],""8"":[62,40],""9"":[76,40],""10"":[98,40],""11"":[130,40],""12"":[190,40],""13"":[260,40]}"
"10-18","D","{""6"":[61,50],""7"":[68,50],""8"":[77,50],""9"":[93,50],""10"":[120,50],""11"":[160,50],""12"":[230,50],""13"":[320,50]}"
"18-30","D","{""6"":[78,65],""7"":[86,65],""8"":[98,65],""9"":[117,65],""10"":[149,65],""11"":[195,65],""12"":[275,65],""13"":[395,65]}"
"30-50","D","{""6"":[96,80],""7"":[105,80],""8"":[119,80],""9"":[142,80],""10"":[180,80],""11"":[240,80],""12"":[330,80],""13"":[470,80]}"
"50-80","D","{""6"":[119,100],""7"":[130,100],""8"":[146,100],""9"":[174,100],""10"":[220,100],""11"":[290,100],""12"":[400,100],""13"":[560,100]}"
"80-120","D","{""6"":[142,120],""7"":[155,120],""8"":[174,120],""9"":[207,120],""10"":[260,120],""11"":[340,120],""12"":[470,120],""13"":[660,120]}"
"120-180","D","{""6"":[170,145],""7"":[185,145],""8"":[208,145],""9"":[245,145],""10"":[305,145],""11"":[395,145],""12"":[545,145],""13"":[775,145]}"
"180-250","D","{""6"":[199,170],""7"":[216,170],""8"":[242,170],""9"":[285,170],""10"":[355,170],""11"":[460,170],""12"":[630,170],""13"":[890,170]}"
"250-315","D","{""6"":[222,190],""7"":[242,190],""8"":[271,190],""9"":[320,190],""10"":[400,190],""11"":[510,190],""12"":[710,190],""13"":[1000,190]}"
"315-400","D","{""6"":[246,210],""7"":[267,210],""8"":[299,210],""9"":[350,210],""10"":[440,210],""11"":[570,210],""12"":[780,210],""13"":[1100,210]}"
"400-500","D","{""6"":[270,230],""7"":[293,230],""8"":[327,230],""9"":[385,230],""10"":[480,230],""11"":[630,230],""12"":[860,230],""13"":[1200,230]}"
"500-630","D","{""6"":[304,260],""7"":[330,260],""8"":[370,260],""9"":[435,260],""10"":[540,260],""11"":[700,260],""12"":[960,260],""13"":[1360,260]}"
"630-800","D","{""6"":[340,290],""7"":[370,290],""8"":[415,290],""9"":[490,290],""10"":[610,290],""11"":[790,290],""12"":[1090,290],""13"":[1540,290]}"
